    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_1: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_2: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_3: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_4: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_5: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_6: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_7: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_8: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_9: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_10: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_11: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_12: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_13: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_14: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_15: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_16: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_17: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_18: killed
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_1: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_2: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_3: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_4: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_5: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_6: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_7: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_8: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_9: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_10: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_11: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_12: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_13: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_14: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_15: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_16: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_17: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_18: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_19: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_20: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_21: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_22: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_23: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_24: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_25: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_26: no tests
